X, Y
38, 79;
7719, 15441;
21238, 42479;
2437, 4877;
8855, 17713;
11797, 23597;
8365, 16733;
2285, 4573;
10450, 20903;
612, 1227;
5853, 11709;
28100, 56203;
1142, 2287;
281, 565;
20537, 41077;
15921, 31845;
8945, 17893;
26285, 52573;
2997, 5997;
14680, 29363;
20976, 41955;
1891, 3785;
21655, 43313;
25906, 51815;
18457, 36917;
1323, 2649;
28881, 57765;
2240, 4483;
9725, 19453;
2278, 4559;
2446, 4895;
590, 1183;
840, 1683;
18587, 37177;
16907, 33817;
21237, 42477;
23611, 47225;
12617, 25237;
12456, 24915;
867, 1737;
29533, 59069;
6878, 13759;
28223, 56449;
17887, 35777;
1597, 3197;
20584, 41171;
12212, 24427;
1111, 2225;
7578, 15159;
17066, 34135;
7629, 15261;
29404, 58811;
12279, 24561;
13505, 27013;
24388, 48779;
11649, 23301;
12329, 24661;
7176, 14355;
2331, 4665;
19264, 38531;
22114, 44231;
14136, 28275;
26928, 53859;
1102, 2207;
21652, 43307;
8404, 16811;
24337, 48677;
27856, 55715;
5598, 11199;
24772, 49547;
14097, 28197;
13213, 26429;
4683, 9369;
16703, 33409;
15260, 30523;
15942, 31887;
2747, 5497;
27375, 54753;
28871, 57745;
18004, 36011;
16673, 33349;
3152, 6307;
11819, 23641;
23504, 47011;
239, 481;
4186, 8375;
2804, 5611;
28937, 57877;
3023, 6049;
10335, 20673;
20533, 41069;
21393, 42789;
16020, 32043;
11574, 23151;
25983, 51969;
13961, 27925;
624, 1251;
7065, 14133;
27569, 55141;
12830, 25663;
24167, 48337;
12236, 24475;
1249, 2501;
23636, 47275;
15619, 31241;
25727, 51457;
12700, 25403;
24323, 48649;
14922, 29847;
22774, 45551;
6811, 13625;
12062, 24127;
3565, 7133;
25191, 50385;
119, 241;
18747, 37497;
26050, 52103;
19620, 39243;
16334, 32671;
5968, 11939;
17524, 35051;
3577, 7157;
15046, 30095;
25531, 51065;
14458, 28919;
29272, 58547;
26530, 53063;
2134, 4271;
2581, 5165;
435, 873;
11667, 23337;
29160, 58323;
26814, 53631;
9642, 19287;
976, 1955;
2527, 5057;
3823, 7649;
21094, 42191;
1768, 3539;
9244, 18491;
13824, 27651;
14021, 28045;
807, 1617;
29296, 58595;
26726, 53455;
14263, 28529;
23640, 47283;
1062, 2127;
9047, 18097;
15080, 30163;
10747, 21497;
15328, 30659;
10113, 20229;
1183, 2369;
16759, 33521;
12743, 25489;
16891, 33785;
11494, 22991;
7361, 14725;
29133, 58269;
8572, 17147;
28651, 57305;
28254, 56511;
28470, 56943;
3019, 6041;
23974, 47951;
8821, 17645;
20822, 41647;
1910, 3823;
11452, 22907;
248, 499;
2156, 4315;
19911, 39825;
13475, 26953;
6436, 12875;
719, 1441;
6388, 12779;
21255, 42513;
3447, 6897;
18840, 37683;
8854, 17711;
16493, 32989;
14755, 29513;
11841, 23685;
26204, 52411;
6167, 12337;
24816, 49635;
26556, 53115;
2001, 4005;
5927, 11857;
214, 431;
24551, 49105;
9083, 18169;
22279, 44561;
1674, 3351;
24846, 49695;
17014, 34031;
1799, 3601;
26665, 53333;
15537, 31077;
2560, 5123;
26952, 53907;
15875, 31753;
20360, 40723;
86, 175;
5850, 11703;
20522, 41047;
1733, 3469;
19455, 38913;
20257, 40517;
25468, 50939;
19097, 38197;
28775, 57553;
22141, 44285;
8940, 17883;
29177, 58357;
5743, 11489;
10281, 20565;
6616, 13235;
9122, 18247;
12147, 24297;
2612, 5227;
10391, 20785;
18523, 37049;
9132, 18267;
1695, 3393;
10065, 20133;
29306, 58615;
11175, 22353;
25879, 51761;
11027, 22057;
24233, 48469;
24053, 48109;
20947, 41897;
8482, 16967;
29162, 58327;
