X, Y, Z
83, 6202, 32388;
68, 8362, 34338;
1, 21136, 63414;
81, 2749, 21373;
56, 29014, 93318;
68, 28315, 94197;
21, 11742, 36112;
45, 25647, 80995;
96, 19487, 76897;
98, 23028, 88296;
70, 21081, 73047;
97, 24519, 92379;
37, 25592, 79518;
13, 28190, 84912;
38, 17339, 54909;
19, 6473, 20145;
52, 16661, 55395;
52, 2552, 13068;
7, 5332, 16098;
94, 24318, 90630;
63, 28928, 94726;
66, 23636, 79624;
34, 18438, 57630;
91, 2913, 25305;
71, 3861, 21669;
36, 12408, 39820;
40, 2713, 11343;
30, 14755, 46069;
95, 7431, 40347;
6, 2719, 8233;
52, 2552, 13068;
22, 18983, 57921;
58, 11097, 40023;
10, 5238, 15918;
15, 1297, 4345;
81, 14087, 55387;
21, 20965, 63781;
31, 22943, 70755;
27, 14025, 43537;
37, 14477, 46173;
55, 808, 8478;
63, 21552, 72598;
73, 1878, 16296;
2, 14779, 44349;
3, 28340, 85042;
90, 18741, 72427;
22, 21972, 66888;
37, 7364, 24834;
14, 21965, 66291;
1, 29994, 89988;
58, 8225, 31407;
82, 20368, 74556;
22, 22477, 68403;
36, 2179, 9133;
88, 27761, 98775;
12, 12348, 37336;
44, 12464, 41268;
52, 29732, 94608;
39, 12250, 39796;
88, 16791, 65865;
87, 1736, 20350;
66, 1512, 13252;
29, 17416, 53934;
81, 12198, 49720;
94, 4923, 32445;
46, 21790, 69606;
14, 14266, 43194;
75, 9249, 39001;
54, 6784, 26188;
40, 2520, 10764;
57, 28484, 91954;
15, 27380, 82594;
98, 13541, 59835;
99, 13147, 59047;
96, 5387, 34597;
36, 26304, 81508;
1, 26380, 79146;
57, 4289, 19369;
3, 23052, 69178;
74, 21847, 76497;
80, 2665, 20799;
20, 20826, 63282;
16, 1622, 5382;
14, 25667, 77397;
9, 1477, 4597;
33, 18230, 56872;
90, 22923, 84973;
23, 5440, 17382;
77, 21950, 77712;
59, 10461, 38349;
14, 15202, 46002;
72, 29373, 98491;
3, 25925, 77797;
12, 11719, 35449;
89, 15400, 62046;
79, 5215, 28131;
78, 13855, 53737;
20, 1460, 5184;
41, 25915, 81111;
55, 29565, 94749;
39, 22885, 71701;
20, 24342, 73830;
56, 22925, 75051;
19, 4005, 12741;
73, 14341, 53685;
9, 24498, 73660;
46, 17959, 58113;
89, 25366, 91944;
79, 11070, 45696;
34, 5379, 18453;
15, 8868, 27058;
64, 10052, 38352;
98, 25895, 96897;
6, 22214, 66718;
84, 16817, 64567;
35, 26968, 83358;
0, 10537, 31615;
3, 14511, 43555;
73, 12692, 48738;
24, 28333, 86155;
78, 21632, 77068;
52, 22243, 72141;
29, 27810, 85116;
62, 26964, 88584;
15, 14014, 42496;
88, 29307, 103413;
94, 22983, 86625;
7, 1888, 5766;
78, 14920, 56932;
57, 24072, 78718;
88, 7426, 37770;
62, 4443, 21021;
44, 23766, 75174;
42, 14857, 48103;
78, 14310, 55102;
69, 1455, 13891;
80, 712, 14940;
81, 374, 14248;
46, 1259, 8013;
64, 27390, 90366;
66, 22924, 77488;
58, 26169, 85239;
16, 16858, 51090;
25, 14026, 43332;
92, 11337, 50943;
45, 2176, 10582;
79, 3188, 22050;
15, 27406, 82672;
24, 12343, 38185;
48, 15661, 51595;
88, 22220, 82152;
27, 12483, 38911;
35, 17204, 54066;
11, 18038, 54360;
32, 19929, 61839;
50, 412, 6240;
79, 14705, 56601;
55, 1093, 9333;
23, 20261, 61845;
77, 11387, 46023;
47, 1523, 8991;
31, 5832, 19422;
0, 14673, 44023;
51, 10745, 37441;
54, 13075, 45061;
62, 4130, 20082;
1, 3214, 9648;
74, 16610, 60786;
0, 11006, 33022;
19, 232, 1422;
69, 23333, 79525;
46, 1414, 8478;
40, 20533, 64803;
11, 21669, 65253;
73, 2544, 18294;
61, 26666, 87444;
11, 26126, 78624;
35, 2343, 9483;
38, 24799, 77289;
33, 13733, 43381;
51, 18737, 61417;
79, 29936, 102294;
