,X,Y
0, 38, 79
1, 7719, 15441
2, 21238, 42479
3, 2437, 4877
4, 8855, 17713
5, 11797, 23597
6, 8365, 16733
7, 2285, 4573
8, 10450, 20903
9, 612, 1227
10, 5853, 11709
11, 28100, 56203
12, 1142, 2287
13, 281, 565
14, 20537, 41077
15, 15921, 31845
16, 8945, 17893
17, 26285, 52573
18, 2997, 5997
19, 14680, 29363
20, 20976, 41955
21, 1891, 3785
22, 21655, 43313
23, 25906, 51815
24, 18457, 36917
25, 1323, 2649
26, 28881, 57765
27, 2240, 4483
28, 9725, 19453
29, 2278, 4559
30, 2446, 4895
31, 590, 1183
32, 840, 1683
33, 18587, 37177
34, 16907, 33817
35, 21237, 42477
36, 23611, 47225
37, 12617, 25237
38, 12456, 24915
39, 867, 1737
40, 29533, 59069
41, 6878, 13759
42, 28223, 56449
43, 17887, 35777
44, 1597, 3197
45, 20584, 41171
46, 12212, 24427
47, 1111, 2225
48, 7578, 15159
49, 17066, 34135
50, 7629, 15261
51, 29404, 58811
52, 12279, 24561
53, 13505, 27013
54, 24388, 48779
55, 11649, 23301
56, 12329, 24661
57, 7176, 14355
58, 2331, 4665
59, 19264, 38531
60, 22114, 44231
61, 14136, 28275
62, 26928, 53859
63, 1102, 2207
64, 21652, 43307
65, 8404, 16811
66, 24337, 48677
67, 27856, 55715
68, 5598, 11199
69, 24772, 49547
70, 14097, 28197
71, 13213, 26429
72, 4683, 9369
73, 16703, 33409
74, 15260, 30523
75, 15942, 31887
76, 2747, 5497
77, 27375, 54753
78, 28871, 57745
79, 18004, 36011
80, 16673, 33349
81, 3152, 6307
82, 11819, 23641
83, 23504, 47011
84, 239, 481
85, 4186, 8375
86, 2804, 5611
87, 28937, 57877
88, 3023, 6049
89, 10335, 20673
90, 20533, 41069
91, 21393, 42789
92, 16020, 32043
93, 11574, 23151
94, 25983, 51969
95, 13961, 27925
96, 624, 1251
97, 7065, 14133
98, 27569, 55141
99, 12830, 25663
100, 24167, 48337
101, 12236, 24475
102, 1249, 2501
103, 23636, 47275
104, 15619, 31241
105, 25727, 51457
106, 12700, 25403
107, 24323, 48649
108, 14922, 29847
109, 22774, 45551
110, 6811, 13625
111, 12062, 24127
