,X,Y,Z
0, 83, 6202, 32388
1, 68, 8362, 34338
2, 1, 21136, 63414
3, 81, 2749, 21373
4, 56, 29014, 93318
5, 68, 28315, 94197
6, 21, 11742, 36112
7, 45, 25647, 80995
8, 96, 19487, 76897
9, 98, 23028, 88296
10, 70, 21081, 73047
11, 97, 24519, 92379
12, 37, 25592, 79518
13, 13, 28190, 84912
14, 38, 17339, 54909
15, 19, 6473, 20145
16, 52, 16661, 55395
17, 52, 2552, 13068
18, 7, 5332, 16098
19, 94, 24318, 90630
20, 63, 28928, 94726
21, 66, 23636, 79624
22, 34, 18438, 57630
23, 91, 2913, 25305
24, 71, 3861, 21669
25, 36, 12408, 39820
26, 40, 2713, 11343
27, 30, 14755, 46069
28, 95, 7431, 40347
29, 6, 2719, 8233
30, 52, 2552, 13068
31, 22, 18983, 57921
32, 58, 11097, 40023
33, 10, 5238, 15918
34, 15, 1297, 4345
35, 81, 14087, 55387
36, 21, 20965, 63781
37, 31, 22943, 70755
38, 27, 14025, 43537
39, 37, 14477, 46173
40, 55, 808, 8478
41, 63, 21552, 72598
42, 73, 1878, 16296
43, 2, 14779, 44349
44, 3, 28340, 85042
45, 90, 18741, 72427
46, 22, 21972, 66888
47, 37, 7364, 24834
48, 14, 21965, 66291
49, 1, 29994, 89988
50, 58, 8225, 31407
51, 82, 20368, 74556
52, 22, 22477, 68403
53, 36, 2179, 9133
54, 88, 27761, 98775
55, 12, 12348, 37336
56, 44, 12464, 41268
57, 52, 29732, 94608
58, 39, 12250, 39796
59, 88, 16791, 65865
60, 87, 1736, 20350
61, 66, 1512, 13252
62, 29, 17416, 53934
63, 81, 12198, 49720
64, 94, 4923, 32445
65, 46, 21790, 69606
66, 14, 14266, 43194
67, 75, 9249, 39001
68, 54, 6784, 26188
69, 40, 2520, 10764
70, 57, 28484, 91954
71, 15, 27380, 82594
72, 98, 13541, 59835
73, 99, 13147, 59047
74, 96, 5387, 34597
75, 36, 26304, 81508
76, 1, 26380, 79146
77, 57, 4289, 19369
78, 3, 23052, 69178
79, 74, 21847, 76497
80, 80, 2665, 20799
81, 20, 20826, 63282
82, 16, 1622, 5382
83, 14, 25667, 77397
84, 9, 1477, 4597
85, 33, 18230, 56872
86, 90, 22923, 84973
87, 23, 5440, 17382
88, 77, 21950, 77712
89, 59, 10461, 38349
90, 14, 15202, 46002
91, 72, 29373, 98491
92, 3, 25925, 77797
93, 12, 11719, 35449
94, 89, 15400, 62046
95, 79, 5215, 28131
96, 78, 13855, 53737
97, 20, 1460, 5184
98, 41, 25915, 81111
99, 55, 29565, 94749
100, 39, 22885, 71701
101, 20, 24342, 73830
102, 56, 22925, 75051
103, 19, 4005, 12741
104, 73, 14341, 53685
105, 9, 24498, 73660
106, 46, 17959, 58113
107, 89, 25366, 91944
108, 79, 11070, 45696
109, 34, 5379, 18453
110, 15, 8868, 27058
111, 64, 10052, 38352
112, 98, 25895, 96897
113, 6, 22214, 66718
114, 84, 16817, 64567
115, 35, 26968, 83358
116, 0, 10537, 31615
117, 3, 14511, 43555
118, 73, 12692, 48738
119, 24, 28333, 86155
120, 78, 21632, 77068
121, 52, 22243, 72141
122, 29, 27810, 85116
123, 62, 26964, 88584
124, 15, 14014, 42496
125, 88, 29307, 103413
126, 94, 22983, 86625
127, 7, 1888, 5766
128, 78, 14920, 56932
129, 57, 24072, 78718
130, 88, 7426, 37770
131, 62, 4443, 21021
132, 44, 23766, 75174
133, 42, 14857, 48103
134, 78, 14310, 55102
135, 69, 1455, 13891
136, 80, 712, 14940
137, 81, 374, 14248
138, 46, 1259, 8013
139, 64, 27390, 90366
140, 66, 22924, 77488
141, 58, 26169, 85239
142, 16, 16858, 51090
143, 25, 14026, 43332
144, 92, 11337, 50943
145, 45, 2176, 10582
146, 79, 3188, 22050
147, 15, 27406, 82672
148, 24, 12343, 38185
149, 48, 15661, 51595
150, 88, 22220, 82152
151, 27, 12483, 38911
152, 35, 17204, 54066
153, 11, 18038, 54360
