,X,Y,Z,W
0, 0.0138249, 2, 2, 0.0138244
1, 0.479537, 2, 2, 0.461369
2, 0.554735, 2, 2, 0.526718
3, 0.986084, 2, 2, 0.833871
4, 0.000183111, 2, 2, 0.000183111
5, 0.697012, 2, 2, 0.64193
6, 0.898221, 2, 2, 0.78222
7, 0.391858, 2, 2, 0.381906
8, 0.202582, 2, 2, 0.201199
9, 0.644795, 2, 2, 0.601035
10, 0.946654, 2, 2, 0.811464
11, 0.901303, 2, 2, 0.784136
12, 0.71981, 2, 2, 0.659241
13, 0.927427, 2, 2, 0.800079
14, 0.683767, 2, 2, 0.631718
15, 0.671194, 2, 2, 0.621921
16, 0.257485, 2, 2, 0.254649
17, 0.399182, 2, 2, 0.388665
18, 0.133244, 2, 2, 0.13285
19, 0.371105, 2, 2, 0.362646
20, 0.0848415, 2, 2, 0.0847397
21, 0.918943, 2, 2, 0.794961
22, 0.218848, 2, 2, 0.217105
23, 0.228309, 2, 2, 0.226331
24, 0.0244758, 2, 2, 0.0244734
25, 0.00567644, 2, 2, 0.00567641
26, 0.923246, 2, 2, 0.797564
27, 0.176336, 2, 2, 0.175424
28, 0.131718, 2, 2, 0.131337
29, 0.42555, 2, 2, 0.412822
30, 0.651692, 2, 2, 0.606533
31, 0.388348, 2, 2, 0.37866
32, 0.219733, 2, 2, 0.217969
33, 0.241615, 2, 2, 0.239271
34, 0.207526, 2, 2, 0.206039
35, 0.976409, 2, 2, 0.828492
36, 0.886319, 2, 2, 0.774749
37, 0.358104, 2, 2, 0.350499
38, 0.284768, 2, 2, 0.280935
39, 0.138066, 2, 2, 0.137628
40, 0.199194, 2, 2, 0.19788
41, 0.0898465, 2, 2, 0.0897257
42, 0.884945, 2, 2, 0.77388
43, 0.531754, 2, 2, 0.507046
44, 0.695761, 2, 2, 0.64097
45, 0.788263, 2, 2, 0.709129
46, 0.563433, 2, 2, 0.534091
47, 0.161229, 2, 2, 0.160532
48, 0.853145, 2, 2, 0.753352
49, 0.0554216, 2, 2, 0.0553932
50, 0.912992, 2, 2, 0.791336
51, 0.551897, 2, 2, 0.524303
52, 0.68572, 2, 2, 0.633231
53, 0.577288, 2, 2, 0.545754
54, 0.188879, 2, 2, 0.187758
55, 0.498611, 2, 2, 0.478206
56, 0.625599, 2, 2, 0.585583
57, 0.106937, 2, 2, 0.106733
58, 0.483718, 2, 2, 0.465074
59, 0.167699, 2, 2, 0.166914
60, 0.342387, 2, 2, 0.335737
61, 0.630085, 2, 2, 0.589214
62, 0.35667, 2, 2, 0.349156
63, 0.833186, 2, 2, 0.740078
64, 0.659047, 2, 2, 0.612364
65, 0.242836, 2, 2, 0.240456
66, 0.324473, 2, 2, 0.318809
67, 0.0292978, 2, 2, 0.0292936
68, 0.219367, 2, 2, 0.217612
69, 0.774041, 2, 2, 0.699031
70, 0.119816, 2, 2, 0.119529
71, 0.400281, 2, 2, 0.389677
72, 0.0638142, 2, 2, 0.0637709
73, 0.682821, 2, 2, 0.630984
74, 0.123569, 2, 2, 0.123255
75, 0.0285653, 2, 2, 0.0285614
76, 0.769829, 2, 2, 0.696013
